Epoch 10 Accuracy for real: 100%, Accuracy for fake: 100% 
Epoch 20 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 30 Accuracy for real: 100%, Accuracy for fake: 100% 
Epoch 40 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 50 Accuracy for real: 96%, Accuracy for fake: 100% 
Epoch 60 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 70 Accuracy for real: 89%, Accuracy for fake: 20% 
Epoch 80 Accuracy for real: 86%, Accuracy for fake: 0% 
Epoch 90 Accuracy for real: 98%, Accuracy for fake: 100% 
Epoch 100 Accuracy for real: 96%, Accuracy for fake: 100% 
Epoch 110 Accuracy for real: 96%, Accuracy for fake: 61% 
Epoch 120 Accuracy for real: 85%, Accuracy for fake: 100% 
Epoch 130 Accuracy for real: 81%, Accuracy for fake: 100% 
Epoch 140 Accuracy for real: 98%, Accuracy for fake: 100% 
Epoch 150 Accuracy for real: 58%, Accuracy for fake: 1% 
Epoch 160 Accuracy for real: 16%, Accuracy for fake: 0% 
Epoch 170 Accuracy for real: 49%, Accuracy for fake: 0% 
Epoch 180 Accuracy for real: 95%, Accuracy for fake: 69% 
Epoch 190 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 200 Accuracy for real: 93%, Accuracy for fake: 96% 
Epoch 210 Accuracy for real: 29%, Accuracy for fake: 100% 
Epoch 220 Accuracy for real: 34%, Accuracy for fake: 14% 
Epoch 230 Accuracy for real: 30%, Accuracy for fake: 100% 
Epoch 240 Accuracy for real: 100%, Accuracy for fake: 100% 
Epoch 250 Accuracy for real: 96%, Accuracy for fake: 100% 
Epoch 260 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 270 Accuracy for real: 100%, Accuracy for fake: 100% 
Epoch 280 Accuracy for real: 100%, Accuracy for fake: 100% 
Epoch 290 Accuracy for real: 99%, Accuracy for fake: 100% 
Epoch 300 Accuracy for real: 95%, Accuracy for fake: 77% 
